Date,trading_time,score
2014-12-05,2014-12-05 09:30:00+00:00,0.007890000000000003
2014-12-08,2014-12-08 09:30:00+00:00,-0.11308765432098768
2014-12-09,2014-12-09 09:30:00+00:00,0.12690384615384612
2014-12-10,2014-12-10 09:30:00+00:00,0.142421875
2014-12-11,2014-12-11 09:30:00+00:00,0.021666666666666664
2014-12-12,2014-12-12 09:30:00+00:00,-0.04175925925925926
2014-12-15,2014-12-15 09:30:00+00:00,-0.01917045454545455
2014-12-16,2014-12-16 09:30:00+00:00,0.03453333333333333
2014-12-17,2014-12-17 09:30:00+00:00,0.1239109090909091
2014-12-18,2014-12-18 09:30:00+00:00,0.053448484848484856
2014-12-19,2014-12-19 09:30:00+00:00,0.06524666666666668
2014-12-22,2014-12-22 09:30:00+00:00,-0.22184583333333333
2014-12-23,2014-12-23 09:30:00+00:00,-0.030382352941176475
2014-12-24,2014-12-24 09:30:00+00:00,0.27755384615384615
2014-12-25,2014-12-25 09:30:00+00:00,0.021490000000000002
2014-12-26,2014-12-26 09:30:00+00:00,0.06541
2014-12-29,2014-12-29 09:30:00+00:00,-0.018590909090909095
2014-12-30,2014-12-30 09:30:00+00:00,-0.08316842105263157
2014-12-31,2014-12-31 09:30:00+00:00,0.0899590909090909
2015-01-01,2015-01-01 09:30:00+00:00,0.024554545454545454
2015-01-02,2015-01-02 09:30:00+00:00,0.09537
2015-01-05,2015-01-05 09:30:00+00:00,0.062141176470588234
2015-01-06,2015-01-06 09:30:00+00:00,0.04252000000000001
2015-01-07,2015-01-07 09:30:00+00:00,0.03215
2015-01-08,2015-01-08 09:30:00+00:00,-0.11087560975609753
2015-01-09,2015-01-09 09:30:00+00:00,0.01108947368421053
2015-01-12,2015-01-12 09:30:00+00:00,-0.03068
2015-01-13,2015-01-13 09:30:00+00:00,-0.07802
2015-01-14,2015-01-14 09:30:00+00:00,0.21920000000000003
2015-01-15,2015-01-15 09:30:00+00:00,0.02124054054054054
